date,ticker,price
2024-01-01,AAPL,150.64935200131865
2024-01-02,AAPL,150.69308676771286
2024-01-03,AAPL,151.50506991081943
2024-01-04,AAPL,151.82732259007875
2024-01-05,AAPL,152.30504995988127
2024-01-06,AAPL,151.18469167009366
2024-01-07,AAPL,152.34226661288386
2024-01-08,AAPL,152.0558879330971
2024-01-09,AAPL,151.27420427739048
2024-01-10,AAPL,151.7518531535624
2024-01-11,AAPL,151.29195717299143
2024-01-12,AAPL,150.5570379280751
2024-01-13,AAPL,150.6294229034861
2024-01-14,AAPL,150.69610323046842
2024-01-15,AAPL,148.685999712336
2024-01-16,AAPL,148.7940528445575
2024-01-17,AAPL,149.57602022529755
2024-01-18,AAPL,150.47160147800682
2024-01-19,AAPL,151.54926581642886
2024-01-20,AAPL,153.42724734915214
